leftpic, middlepic, rightpic, steering angle, break, throttle, speedmph, battery temp, battery %
/Users/Matt/Documents/generated_drive_data/IMG/center_2018_04_16_10_31_27_940.jpg,/Users/Matt/Documents/generated_drive_data/IMG/left_2018_04_16_10_31_27_940.jpg,/Users/Matt/Documents/generated_drive_data/IMG/right_2018_04_16_10_31_27_940.jpg,0,0,0,19.03534,24.99,100.00
/Users/Matt/Documents/generated_drive_data/IMG/center_2018_04_16_10_31_28_012.jpg,/Users/Matt/Documents/generated_drive_data/IMG/left_2018_04_16_10_31_28_012.jpg,/Users/Matt/Documents/generated_drive_data/IMG/right_2018_04_16_10_31_28_012.jpg,0,0,0,18.80239,24.99,100.00
/Users/Matt/Documents/generated_drive_data/IMG/center_2018_04_16_10_31_28_081.jpg,/Users/Matt/Documents/generated_drive_data/IMG/left_2018_04_16_10_31_28_081.jpg,/Users/Matt/Documents/generated_drive_data/IMG/right_2018_04_16_10_31_28_081.jpg,0,0,0,18.28164,24.99,100.00
/Users/Matt/Documents/generated_drive_data/IMG/center_2018_04_16_10_31_28_162.jpg,/Users/Matt/Documents/generated_drive_data/IMG/left_2018_04_16_10_31_28_162.jpg,/Users/Matt/Documents/generated_drive_data/IMG/right_2018_04_16_10_31_28_162.jpg,0,0.1370759,0,18.12755,24.99,100.00
/Users/Matt/Documents/generated_drive_data/IMG/center_2018_04_16_10_31_28_239.jpg,/Users/Matt/Documents/generated_drive_data/IMG/left_2018_04_16_10_31_28_239.jpg,/Users/Matt/Documents/generated_drive_data/IMG/right_2018_04_16_10_31_28_239.jpg,0,0.3660808,0,18.25668,24.99,100.00
/Users/Matt/Documents/generated_drive_data/IMG/center_2018_04_16_10_31_28_323.jpg,/Users/Matt/Documents/generated_drive_data/IMG/left_2018_04_16_10_31_28_323.jpg,/Users/Matt/Documents/generated_drive_data/IMG/right_2018_04_16_10_31_28_323.jpg,0,0.6211617,0,19.00821,24.99,99.99
/Users/Matt/Documents/generated_drive_data/IMG/center_2018_04_16_10_31_28_392.jpg,/Users/Matt/Documents/generated_drive_data/IMG/left_2018_04_16_10_31_28_392.jpg,/Users/Matt/Documents/generated_drive_data/IMG/right_2018_04_16_10_31_28_392.jpg,0,0.8261669,0,19.19398,24.99,99.99
/Users/Matt/Documents/generated_drive_data/IMG/center_2018_04_16_10_31_28_464.jpg,/Users/Matt/Documents/generated_drive_data/IMG/left_2018_04_16_10_31_28_464.jpg,/Users/Matt/Documents/generated_drive_data/IMG/right_2018_04_16_10_31_28_464.jpg,0,1,0,19.99145,24.99,99.99
/Users/Matt/Documents/generated_drive_data/IMG/center_2018_04_16_10_31_28_535.jpg,/Users/Matt/Documents/generated_drive_data/IMG/left_2018_04_16_10_31_28_535.jpg,/Users/Matt/Documents/generated_drive_data/IMG/right_2018_04_16_10_31_28_535.jpg,0,1,0,20.71305,24.98,99.99
/Users/Matt/Documents/generated_drive_data/IMG/center_2018_04_16_10_31_28_606.jpg,/Users/Matt/Documents/generated_drive_data/IMG/left_2018_04_16_10_31_28_606.jpg,/Users/Matt/Documents/generated_drive_data/IMG/right_2018_04_16_10_31_28_606.jpg,0,1,0,21.50016,24.98,99.99
