leftpic, middlepic, rightpic, steering angle, break, throttle, speedmph, battery temp, battery %
E:\Users\Matt\Documents\IMG\center_2018_04_24_16_01_14_387.jpg,E:\Users\Matt\Documents\IMG\left_2018_04_24_16_01_14_387.jpg,E:\Users\Matt\Documents\IMG\right_2018_04_24_16_01_14_387.jpg,0,0,0,0.0001074834,24.99,99.99,0.04050004482269287
E:\Users\Matt\Documents\IMG\center_2018_04_24_16_01_14_470.jpg,E:\Users\Matt\Documents\IMG\left_2018_04_24_16_01_14_470.jpg,E:\Users\Matt\Documents\IMG\right_2018_04_24_16_01_14_470.jpg,0,0,0,0.0001235179,24.99,99.99,0.0820000171661377
E:\Users\Matt\Documents\IMG\center_2018_04_24_16_01_14_548.jpg,E:\Users\Matt\Documents\IMG\left_2018_04_24_16_01_14_548.jpg,E:\Users\Matt\Documents\IMG\right_2018_04_24_16_01_14_548.jpg,0,0,0,0.0001531586,24.99,99.99,0.12100005149841309
E:\Users\Matt\Documents\IMG\center_2018_04_24_16_01_14_620.jpg,E:\Users\Matt\Documents\IMG\left_2018_04_24_16_01_14_620.jpg,E:\Users\Matt\Documents\IMG\right_2018_04_24_16_01_14_620.jpg,0,0,0,0.0002218553,24.99,99.99,0.15699994564056396
E:\Users\Matt\Documents\IMG\center_2018_04_24_16_01_14_699.jpg,E:\Users\Matt\Documents\IMG\left_2018_04_24_16_01_14_699.jpg,E:\Users\Matt\Documents\IMG\right_2018_04_24_16_01_14_699.jpg,0,0,0,2.475321E-05,24.99,99.99,0.19649994373321533
E:\Users\Matt\Documents\IMG\center_2018_04_24_16_01_14_769.jpg,E:\Users\Matt\Documents\IMG\left_2018_04_24_16_01_14_769.jpg,E:\Users\Matt\Documents\IMG\right_2018_04_24_16_01_14_769.jpg,0,0,0,0.0002820985,24.99,99.99,0.2315000295639038
E:\Users\Matt\Documents\IMG\center_2018_04_24_16_01_14_849.jpg,E:\Users\Matt\Documents\IMG\left_2018_04_24_16_01_14_849.jpg,E:\Users\Matt\Documents\IMG\right_2018_04_24_16_01_14_849.jpg,0,0,0,4.951222E-05,24.99,99.99,0.27149999141693115
E:\Users\Matt\Documents\IMG\center_2018_04_24_16_01_14_930.jpg,E:\Users\Matt\Documents\IMG\left_2018_04_24_16_01_14_930.jpg,E:\Users\Matt\Documents\IMG\right_2018_04_24_16_01_14_930.jpg,0,0,0,4.239181E-06,24.99,99.99,0.312000036239624
E:\Users\Matt\Documents\IMG\center_2018_04_24_16_01_15_011.jpg,E:\Users\Matt\Documents\IMG\left_2018_04_24_16_01_15_011.jpg,E:\Users\Matt\Documents\IMG\right_2018_04_24_16_01_15_011.jpg,0,0,0,7.774372E-05,24.98,99.99,0.35249996185302734
E:\Users\Matt\Documents\IMG\center_2018_04_24_16_01_15_090.jpg,E:\Users\Matt\Documents\IMG\left_2018_04_24_16_01_15_090.jpg,E:\Users\Matt\Documents\IMG\right_2018_04_24_16_01_15_090.jpg,0,0,0,0.0001053544,24.98,99.99,0.3919999599456787
E:\Users\Matt\Documents\IMG\center_2018_04_24_16_01_15_157.jpg,E:\Users\Matt\Documents\IMG\left_2018_04_24_16_01_15_157.jpg,E:\Users\Matt\Documents\IMG\right_2018_04_24_16_01_15_157.jpg,0,0,0,0.0001206238,24.98,99.99,0.4255000352859497
E:\Users\Matt\Documents\IMG\center_2018_04_24_16_01_15_240.jpg,E:\Users\Matt\Documents\IMG\left_2018_04_24_16_01_15_240.jpg,E:\Users\Matt\Documents\IMG\right_2018_04_24_16_01_15_240.jpg,0,0,0,0.0001409834,24.98,99.99,0.46700000762939453
E:\Users\Matt\Documents\IMG\center_2018_04_24_16_01_15_324.jpg,E:\Users\Matt\Documents\IMG\left_2018_04_24_16_01_15_324.jpg,E:\Users\Matt\Documents\IMG\right_2018_04_24_16_01_15_324.jpg,0,0,0,0.0001711269,24.97,99.99,0.5089999437332153
E:\Users\Matt\Documents\IMG\center_2018_04_24_16_01_15_406.jpg,E:\Users\Matt\Documents\IMG\left_2018_04_24_16_01_15_406.jpg,E:\Users\Matt\Documents\IMG\right_2018_04_24_16_01_15_406.jpg,0,0,0,5.239444E-05,24.97,99.99,0.5499999523162842
