leftpic, middlepic, rightpic, steering angle, break, throttle, speedmph, battery temp, battery %
E:\Users\Matt\Documents\IMG\center_2018_04_24_16_01_14_387.jpg,E:\Users\Matt\Documents\IMG\left_2018_04_24_16_01_14_387.jpg,E:\Users\Matt\Documents\IMG\right_2018_04_24_16_01_14_387.jpg,0,0,0,0.0001074834,25.00,99.99
E:\Users\Matt\Documents\IMG\center_2018_04_24_16_01_14_470.jpg,E:\Users\Matt\Documents\IMG\left_2018_04_24_16_01_14_470.jpg,E:\Users\Matt\Documents\IMG\right_2018_04_24_16_01_14_470.jpg,0,0,0,0.0001235179,25.00,99.99
E:\Users\Matt\Documents\IMG\center_2018_04_24_16_01_14_548.jpg,E:\Users\Matt\Documents\IMG\left_2018_04_24_16_01_14_548.jpg,E:\Users\Matt\Documents\IMG\right_2018_04_24_16_01_14_548.jpg,0,0,0,0.0001531586,25.00,99.99
E:\Users\Matt\Documents\IMG\center_2018_04_24_16_01_14_620.jpg,E:\Users\Matt\Documents\IMG\left_2018_04_24_16_01_14_620.jpg,E:\Users\Matt\Documents\IMG\right_2018_04_24_16_01_14_620.jpg,0,0,0,0.0002218553,25.00,99.99
E:\Users\Matt\Documents\IMG\center_2018_04_24_16_01_14_699.jpg,E:\Users\Matt\Documents\IMG\left_2018_04_24_16_01_14_699.jpg,E:\Users\Matt\Documents\IMG\right_2018_04_24_16_01_14_699.jpg,0,0,0,2.475321E-05,25.00,99.99
E:\Users\Matt\Documents\IMG\center_2018_04_24_16_01_14_769.jpg,E:\Users\Matt\Documents\IMG\left_2018_04_24_16_01_14_769.jpg,E:\Users\Matt\Documents\IMG\right_2018_04_24_16_01_14_769.jpg,0,0,0,0.0002820985,25.00,99.99
E:\Users\Matt\Documents\IMG\center_2018_04_24_16_01_14_849.jpg,E:\Users\Matt\Documents\IMG\left_2018_04_24_16_01_14_849.jpg,E:\Users\Matt\Documents\IMG\right_2018_04_24_16_01_14_849.jpg,0,0,0,4.951222E-05,25.00,99.99
E:\Users\Matt\Documents\IMG\center_2018_04_24_16_01_14_930.jpg,E:\Users\Matt\Documents\IMG\left_2018_04_24_16_01_14_930.jpg,E:\Users\Matt\Documents\IMG\right_2018_04_24_16_01_14_930.jpg,0,0,0,4.239181E-06,25.00,99.99
E:\Users\Matt\Documents\IMG\center_2018_04_24_16_01_15_011.jpg,E:\Users\Matt\Documents\IMG\left_2018_04_24_16_01_15_011.jpg,E:\Users\Matt\Documents\IMG\right_2018_04_24_16_01_15_011.jpg,0,0,0,7.774372E-05,25.00,99.99
E:\Users\Matt\Documents\IMG\center_2018_04_24_16_01_15_090.jpg,E:\Users\Matt\Documents\IMG\left_2018_04_24_16_01_15_090.jpg,E:\Users\Matt\Documents\IMG\right_2018_04_24_16_01_15_090.jpg,0,0,0,0.0001053544,25.00,99.99
