leftpic, middlepic, rightpic, steering angle, break, throttle, speedmph, battery temp, battery %,acceleration, speedMS, coolingPower, generatedHeat, instantaneousPower
E:\Users\Matt\Documents\IMG\center_2018_04_24_16_01_14_387.jpg,E:\Users\Matt\Documents\IMG\left_2018_04_24_16_01_14_387.jpg,E:\Users\Matt\Documents\IMG\right_2018_04_24_16_01_14_387.jpg,0,0,0,0.0001074834,24.99,99.99,0.0002539633968048559,0,10.773638808662742,0.008507152594154535,-10.765131656068588
E:\Users\Matt\Documents\IMG\center_2018_04_24_16_01_14_849.jpg,E:\Users\Matt\Documents\IMG\left_2018_04_24_16_01_14_849.jpg,E:\Users\Matt\Documents\IMG\right_2018_04_24_16_01_14_849.jpg,0.0,0.0,0.0,0.00014248262166666667,24.99,99.99,5.720165505323793e-05,0,61.449561360293586,0.008507152594154535,-61.44105420769943
E:\Users\Matt\Documents\IMG\center_2018_04_24_16_01_15_324.jpg,E:\Users\Matt\Documents\IMG\left_2018_04_24_16_01_15_324.jpg,E:\Users\Matt\Documents\IMG\right_2018_04_24_16_01_15_324.jpg,0.0,0.0,0.0,0.0001033452335,24.99,99.99,7.375261934320958e-05,0,63.17866349364049,0.008507152594154535,-63.17015634104634
E:\Users\Matt\Documents\IMG\center_2018_04_24_16_01_15_810.jpg,E:\Users\Matt\Documents\IMG\left_2018_04_24_16_01_15_810.jpg,E:\Users\Matt\Documents\IMG\right_2018_04_24_16_01_15_810.jpg,0.0,0.0,0.0,6.7944075e-05,24.99,99.99,5.228332522631909e-05,0,64.64176942894402,0.008507152594154535,-64.63326227634987
E:\Users\Matt\Documents\IMG\center_2018_04_24_16_01_16_255.jpg,E:\Users\Matt\Documents\IMG\left_2018_04_24_16_01_16_255.jpg,E:\Users\Matt\Documents\IMG\right_2018_04_24_16_01_16_255.jpg,0.0,0.0,0.0,0.00010588980666666665,24.98,99.99,3.754053744750483e-05,0,59.1884668308599,0.008507152594154535,-59.179959678265746
E:\Users\Matt\Documents\IMG\center_2018_04_24_16_01_16_700.jpg,E:\Users\Matt\Documents\IMG\left_2018_04_24_16_01_16_700.jpg,E:\Users\Matt\Documents\IMG\right_2018_04_24_16_01_16_700.jpg,0.0,0.0,0.0,7.064836183333333e-05,24.98,99.99,5.850638752914473e-05,0,59.18843511934368,0.008507152594154535,-59.179927966749524
E:\Users\Matt\Documents\IMG\center_2018_04_24_16_01_17_148.jpg,E:\Users\Matt\Documents\IMG\left_2018_04_24_16_01_17_148.jpg,E:\Users\Matt\Documents\IMG\right_2018_04_24_16_01_17_148.jpg,0.0,0.0,0.0,6.36807645e-05,24.98,99.99,3.877333882943734e-05,0,59.58746112792499,0.008507152594154535,-59.57895397533083
E:\Users\Matt\Documents\IMG\center_2018_04_24_16_01_17_620.jpg,E:\Users\Matt\Documents\IMG\left_2018_04_24_16_01_17_620.jpg,E:\Users\Matt\Documents\IMG\right_2018_04_24_16_01_17_620.jpg,0.0,0.0,0.0,8.77216025e-05,24.98,99.99,3.3172289806530546e-05,0,62.77963748505919,0.008507152594154535,-62.771130332465034
E:\Users\Matt\Documents\IMG\center_2018_04_24_16_01_18_074.jpg,E:\Users\Matt\Documents\IMG\left_2018_04_24_16_01_18_074.jpg,E:\Users\Matt\Documents\IMG\right_2018_04_24_16_01_18_074.jpg,0.0,0.0,0.0,9.483915e-05,24.98,99.99,4.750723795397739e-05,0,60.385513145087586,0.008507152594154535,-60.37700599249343
E:\Users\Matt\Documents\IMG\center_2018_04_24_16_01_18_526.jpg,E:\Users\Matt\Documents\IMG\left_2018_04_24_16_01_18_526.jpg,E:\Users\Matt\Documents\IMG\right_2018_04_24_16_01_18_526.jpg,0.0,0.0,0.0,0.00010387617066666665,24.97,99.99,5.1589124352466845e-05,0,60.119516947044204,0.008507152594154535,-60.11100979445005
