leftpic, middlepic, rightpic, steering angle, break, throttle, speedmph, battery temp, battery %,acceleration, speedMS, coolingPower, generatedHeat, instantaneousPower
E:\Users\Matt\Documents\IMG\center_2018_04_24_16_01_14_387.jpg,E:\Users\Matt\Documents\IMG\left_2018_04_24_16_01_14_387.jpg,E:\Users\Matt\Documents\IMG\right_2018_04_24_16_01_14_387.jpg,0,0,0,0.0001074834,25.00,99.99,0.0002539633968048559,0,0.0,0.008507152594154535,0.008507152594154535
E:\Users\Matt\Documents\IMG\center_2018_04_24_16_01_14_470.jpg,E:\Users\Matt\Documents\IMG\left_2018_04_24_16_01_14_470.jpg,E:\Users\Matt\Documents\IMG\right_2018_04_24_16_01_14_470.jpg,0,0,0,0.0001235179,25.00,99.99,0.00031839971248769197,0,0.0,0.008507152594154535,0.008507152594154535
E:\Users\Matt\Documents\IMG\center_2018_04_24_16_01_14_548.jpg,E:\Users\Matt\Documents\IMG\left_2018_04_24_16_01_14_548.jpg,E:\Users\Matt\Documents\IMG\right_2018_04_24_16_01_14_548.jpg,0,0,0,0.0001531586,25.00,99.99,0.00038935341505157254,0,0.0,0.008507152594154535,0.008507152594154535
E:\Users\Matt\Documents\IMG\center_2018_04_24_16_01_14_620.jpg,E:\Users\Matt\Documents\IMG\left_2018_04_24_16_01_14_620.jpg,E:\Users\Matt\Documents\IMG\right_2018_04_24_16_01_14_620.jpg,0,0,0,0.0002218553,25.00,99.99,0.000523021139319246,0,0.0,0.008507152594154535,0.008507152594154535
E:\Users\Matt\Documents\IMG\center_2018_04_24_16_01_14_699.jpg,E:\Users\Matt\Documents\IMG\left_2018_04_24_16_01_14_699.jpg,E:\Users\Matt\Documents\IMG\right_2018_04_24_16_01_14_699.jpg,0,0,0,2.475321E-05,25.00,99.99,0.0006904811260199553,0,0.0,0.008507152594154535,0.008507152594154535
E:\Users\Matt\Documents\IMG\center_2018_04_24_16_01_14_769.jpg,E:\Users\Matt\Documents\IMG\left_2018_04_24_16_01_14_769.jpg,E:\Users\Matt\Documents\IMG\right_2018_04_24_16_01_14_769.jpg,0,0,0,0.0002820985,25.00,99.99,8.694437605898125e-05,0,0.0,0.008507152594154535,0.008507152594154535
E:\Users\Matt\Documents\IMG\center_2018_04_24_16_01_14_849.jpg,E:\Users\Matt\Documents\IMG\left_2018_04_24_16_01_14_849.jpg,E:\Users\Matt\Documents\IMG\right_2018_04_24_16_01_14_849.jpg,0,0,0,4.951222E-05,25.00,99.99,0.0008670023567378801,0,0.0,0.008507152594154535,0.008507152594154535
E:\Users\Matt\Documents\IMG\center_2018_04_24_16_01_14_930.jpg,E:\Users\Matt\Documents\IMG\left_2018_04_24_16_01_14_930.jpg,E:\Users\Matt\Documents\IMG\right_2018_04_24_16_01_14_930.jpg,0,0,0,4.239181E-06,25.00,99.99,0.00015029203805990462,0,0.0,0.008507152594154535,0.008507152594154535
E:\Users\Matt\Documents\IMG\center_2018_04_24_16_01_15_011.jpg,E:\Users\Matt\Documents\IMG\left_2018_04_24_16_01_15_011.jpg,E:\Users\Matt\Documents\IMG\right_2018_04_24_16_01_15_011.jpg,0,0,0,7.774372E-05,25.00,99.99,1.2867874385515606e-05,0,0.0,0.008507152594154535,0.008507152594154535
E:\Users\Matt\Documents\IMG\center_2018_04_24_16_01_15_090.jpg,E:\Users\Matt\Documents\IMG\left_2018_04_24_16_01_15_090.jpg,E:\Users\Matt\Documents\IMG\right_2018_04_24_16_01_15_090.jpg,0,0,0,0.0001053544,25.00,99.99,0.00024196208666901409,0,0.0,0.008507152594154535,0.008507152594154535
E:\Users\Matt\Documents\IMG\center_2018_04_24_16_01_15_157.jpg,E:\Users\Matt\Documents\IMG\left_2018_04_24_16_01_15_157.jpg,E:\Users\Matt\Documents\IMG\right_2018_04_24_16_01_15_157.jpg,0,0,0,0.0001206238,25.00,99.99,0.0003866214743353239,0,0.0,0.008507152594154535,0.008507152594154535
E:\Users\Matt\Documents\IMG\center_2018_04_24_16_01_15_240.jpg,E:\Users\Matt\Documents\IMG\left_2018_04_24_16_01_15_240.jpg,E:\Users\Matt\Documents\IMG\right_2018_04_24_16_01_15_240.jpg,0,0,0,0.0001409834,25.00,99.99,0.0003573257194987585,0,0.0,0.008507152594154535,0.008507152594154535
E:\Users\Matt\Documents\IMG\center_2018_04_24_16_01_15_324.jpg,E:\Users\Matt\Documents\IMG\left_2018_04_24_16_01_15_324.jpg,E:\Users\Matt\Documents\IMG\right_2018_04_24_16_01_15_324.jpg,0,0,0,0.0001711269,25.00,99.99,0.0004126657530991645,0,0.0,0.008507152594154535,0.008507152594154535
E:\Users\Matt\Documents\IMG\center_2018_04_24_16_01_15_406.jpg,E:\Users\Matt\Documents\IMG\left_2018_04_24_16_01_15_406.jpg,E:\Users\Matt\Documents\IMG\right_2018_04_24_16_01_15_406.jpg,0,0,0,5.239444E-05,25.00,99.99,0.000513113467666141,0,0.0,0.008507152594154535,0.008507152594154535
E:\Users\Matt\Documents\IMG\center_2018_04_24_16_01_15_486.jpg,E:\Users\Matt\Documents\IMG\left_2018_04_24_16_01_15_486.jpg,E:\Users\Matt\Documents\IMG\right_2018_04_24_16_01_15_486.jpg,0,0,0,4.525283E-05,25.00,99.99,0.00016102874556191994,0,0.0,0.008507152594154535,0.008507152594154535
